sNo,epsiodeNumber,episodeName,quote
284,NA,NA,"Monica: Is it me? Is it like I have a beacon that only dogs and men with severe emotional problems can hear?

"
285,NA,NA,"Phoebe: Quit being so ""testosterony"".

Chandler: ...The real San Francisco treat.

"
286,NA,NA,"Janice: Goodnight my Bing-a-ling.

"
287,NA,NA,"[Phoebe and her ex-boyfriend David meet again after a few years of being apart]

Phoebe: You got a haircut.

David: Yeah, well, I got like, thirty of 'em.

"
288,NA,NA,"Monica: Wow. You're a really good kisser.

Chandler: Well, I have kissed more than four women.

"
289,NA,NA,"Monica: Is this too cute? Lesbian wedding, chicken breasts.

[Silence]

Monica: What? I'm not like I'm gonna put little nipples on them.

"
290,NA,NA,"Rachel: God, this is funny, look, this is a picture of one Halloween where she dressed up as a bride.

[shows Phoebe the picture]

Rachel: And look, she made me carry her train, which was weird because I was Wonder Woman.

"
291,NA,NA,"Phoebe: Hey, can we turn on the TV? I think it's raining outside.

"
292,NA,NA,"Chandler: Ew, ew, ew, ew ew ew ew ew. Ugly Naked Guy got a Thighmaster.

"
293,NA,NA,"Tommy: So, you work at Bloomindales... My mom calls it Bloomies.

Rachel: Yeah, ok, At ease soldier.

"
294,NA,NA,"Rachel: Do you know the only person who'd wanna listen to this? A mental health professional. And that's only because they get paid a hundred dollars an hour.

"
295,NA,NA,"Phoebe: Hello, my name is Clunkers. May I please stay with you nice people?

"
296,NA,NA,"Chandler: Rachel, it's the Visa card people.

Rachel: Oh, okay. Will you take my place?

Chandler: All right.

[on phone]

Chandler: Yes, this is Rachel.

"
297,NA,NA,"Chandler: [about Richard] Oh hey listen, don't be mad at him, it's our fault. I'm sorry we've been hoggin so much of his time.

Joey: Yeah, he's just really great to hang around with.

Richard: Well...

Joey: No, I'm serious. Chandler and I were just talkin' about this. He is so much cooler than our dads.

[Chandler kicks, out of sight]

Joey: I mean, you know, our dads are okay, you know? But Richard is just- ow, ow.

[to Chandler]

Joey: What are you kickin' me for, huh? I'm tryin' to talk here.

"
298,NA,NA,"[At an audition]

Joey: Come on, give me another chance. I can do a southern accent.

[with Jamaican accent]

Joey: Ya, mon.

"
299,NA,NA,"[after having sex with Rachel's boss]

Rachel: You promised you would break up with her.

Chandler: I did break up with her. She just took it really, really well.

"
300,NA,NA,"Monica: Do you ever think about the future?

Richard: Yeah, I think about the future.

Monica: Am I in it?

Richard: You are my future.

Monica: Honey, you are about to get so lucky.

"
301,NA,NA,"Phoebe: A plate of brownies once told me a Limerick.

Chandler: Let me ask you, Phoebe: were these ""funny brownies""?

Phoebe: Not particularly. Although I do think they had pot in them.

"
302,NA,NA,"[Joey's mom is talking about his father's mistress]

Gloria Tribbiani: In a perfect world, she wouldn't exist. And your father would look like Sting.

"
303,NA,NA,"Ross: Hey, remember when I had a monkey? Yeah, what was I thinking?

"
304,NA,NA,"Erica: [playing a joke on Chandler] It'd really mean a lot to me, if the baby was a boy, if you'd name him after my father - JimminyBillyBob.

"
305,NA,NA,"Chandler: [talking to Monica about the new house] When did you start crapping money?

"
306,NA,NA,"Chandler: And by the way, Count Rushmore doesn't exist.

Joey: Oh yeah? Then who's the guy who painted all the faces on the mountain?

"
307,NA,NA,"Ross: [waiting for Rachel and Monica to come out of the bathroom] Good, good, good. So, is uh, was your moustache, did, used to be different?

Richard: No.

Ross: Oh. How do you uh, ya know, keep it so neat?

Richard: I have a little comb.

Ross: Oh. And what do you call that?

Richard: A moustache comb.

"
308,NA,NA,"Ross: No divorces in '99!

"
309,NA,NA,"[Listening to Phoebe and Mike breaking up whilst holding a heavy sofa]

Chandler: Aaaaaand... Hernia.

"
310,NA,NA,"Joey: Paper, snow, a Ghost!

"
311,NA,NA,"Monica: Can you help me fold these napkins?

Phoebe: Sure.

Monica: I'm gonna go across the hall and check on the yams.

[Notices the way Pheobe is folding the napkins]

Monica: No... no honey... Not like that, we're not a barn dance. You wanna fold them like swans like I showed you at Christmas, remember?

Phoebe: Yeah. It all came screaming back to me.

"
312,NA,NA,"Joey: And you call yourself an accountant?

Chandler: ...No.

"
313,NA,NA,"Monica: You broke a little girl's leg?

Ross: I know. I feel horrible. Okay.

Chandler: [reading the paper] Says here that a Muppet got whacked on Sesame Street last night.

[to Ross]

Chandler: Where exactly were you around ten-ish?

"
314,NA,NA,"[on thanksgiving day]

Chandler: So, when's the big game gonna start?

Phoebe: You don't have to do that, Ross and Joey aren't here, you can watch the parade.

"
315,NA,NA,"Monica: Look, Joey feels really bad for what happened. He thinks you hate him. He wants to move to Vermont.

Ross: I don't hate him. It's just... You know what, I'll go talk to him. It's not his fault.

Monica: Thank you. He already asked me where he could exchange his dollars for Vermont money.

"
316,NA,NA,"Phoebe: You still love Rachel.

Ross: No, I don't.

Phoebe: You got married to her.

Ross: In Vegas. I was so drunk, I could've married Joey.

Phoebe: [angry] Hey. You could do a lot worse than Joey Tribianni.

"
317,NA,NA,"Ross: So, uh, how long are you going to punish him?

Joey: Five years.

Ross: You've sentenced him?

Joey: Hey, don't do the crime if you can't do the time.

"
318,NA,NA,"Chandler: You wanna tell secrets? Okay. In college, Ross used to wear leg warmers.

Ross: All right. Chandler entered a Vanilla Ice look-a-like contest and won.

Chandler: Ross came in fourth and cried.

Ross: Chandler got drunk one night and slept with the woman who cleaned our dorm.

Chandler: That was you.

Ross: Whatever dude. You kissed a guy.

"
319,NA,NA,"Janine: 3, 2, 1. Happy New Year.

[kisses Joey]

Joey: [mumbles] Oomchimawa.

"
320,NA,NA,"Ross: Rachel won't talk to me. She won't even let me in the apartment.

Phoebe: Hmmm, I wonder why, pervert?

Ross: I'm not a pervert.

Phoebe: Please, that's the pervert motto. They have you raise your right hand, put your left hand in your pants and say that.

"
321,NA,NA,"Rachel: Thank you for my beautiful earrings, they're perfect. I love you.

Ross: Oh, now you can exchange them if you want, okay?

Rachel: Now I love you even more.

"
322,NA,NA,"Rachel: So are things between you and Joey getting any better?

Chandler: It couldn't get any worse. Last night, I spent eight hours calling him, trying to get him to talk to me.

Rachel: Oh, wow. Eight hours. So you could probably really use one of those plug-in telephone headsets, huh?

Ross: Should we all expect Christmas gifts that can be stolen from your office?

Rachel: You shouldn't.

"
323,NA,NA,"Jack Geller: I remember when we first got engaged.

Chandler: Oh, I don't think I ever heard that story.

Monica: Oh dad, really you don't need to...

Jack Geller: [ignoring her] Well, I'd gotten Judy pregnant. I still don't know that happened.

Judy Geller: [incredulous] You don't know how that happened? Your dog thought my diaphragm was a chew toy.

"
324,NA,NA,"Joey: Anyway, I started working on what I'm gonna say at the ceremony, you wanna hear it?

Monica, Chandler: Yeah!

Joey: Now, listen, it's just the first draft so... ""We are gathered here today on this joyous occasion to celebrate the special love that Monica and Chandler share. It is a love based on giving and receiving, as well as having and sharing. And the love that they give and have is shared and received. And through this having and giving and sharing and receiving, we too can share and love and have and receive.""

Chandler: [to Monica] Shouldn't we call the spitter?

"
325,NA,NA,"[Ross is wearing a white suit]

Monica: I like it even better on you than on Colonel Sanders.

Ross: Look, I just came here to tell you guys something.

Rachel: Oh. Was it how you invented the cotton gin?

"
326,NA,NA,"[Reading Rachel's ""romance novel.""]

Monica: ""Throbbing pens""? Don't wanna be around when he writes with those.

"
327,NA,NA,"[advising Ross about Rachel]

Joey: You waited too long and now you're in ""The Friend Zone"".

"
328,NA,NA,"[Chandler walks in]

Joey: You know, with that goatee, you kinda look like Satan.

"
329,NA,NA,"Chandler: [to a woman] Come on, I'll show you to my room... Wow, that sounds weird when it's not followed by ""No thanks, it's late"".

"
330,NA,NA,"Chandler: You know what they say, ask your slippers a question... you're going crazy.

"
331,NA,NA,"Phoebe: Soap Opera Digest. That's one of my favorite digests.

"
332,NA,NA,"Joey: There's no juice for the people who need the juice and want the juice and I need the juice.

"
333,NA,NA,"Ross: Mississippilessly?

"
334,NA,NA,"Ross: All right, I'll tell you why you're a bad driver. You're fast and irresponsible.

Rachel: Well, excuse me but in high school that made me head cheerleader.

"
335,NA,NA,"Ross: Hi...

Joey: Pfft... This guy says, ""Hello, "" I wanna kill myself.

"
336,NA,NA,"Ross: Because women never like Joey. You know, I hear he's a virgin?

"
337,NA,NA,"[Rachel, Phoebe and Joey have just found out that Chandler, Ross and Monica went to an after party with Hootie and the Blowfish]

Phoebe: What's on your neck?

Monica: That? That would be the work of a Blowfish.

"
338,NA,NA,"Ross: What the hell are you doing, you scared the crap out of me!

"
339,NA,NA,"Phoebe: Oh, my God! The foster puppets!

"
340,NA,NA,"Julie: [Monica has told everyone about Chandler's third nipple] You know, Chandler, in some cultures a third nipple is considered a mark of virility. The most desirable women dance naked around you so you can make your pick.

Chandler: Ah, would any of these cultures be in the tri-state area?

Julie: Sorry.

"
341,NA,NA,"Monica: Whoa. Where you going in those pants? 1982?

"
342,NA,NA,"Monica: That's probably because their nerves are deadened from being so stupid.

"
343,NA,NA,"Rachel: Come on. You guys can pee standing up.

"
344,NA,NA,"Phoebe: You name one woman that you broke up with for a real reason.

Chandler: Maureen Rosilla.

Ross: ""'Cause she doesn't hate Yanni"" is not a real reason.

"
345,NA,NA,"[talking to Monica]

Chandler: Yeah, I know it must be important to you when you start chattering like a monkey.

"
346,NA,NA,"Chandler: You took your eggs and you left. Do you really expect me never to find new eggs?

"
347,NA,NA,"Rachel: I've never been to an analyst!

Phoebe: And it shows.

"
348,NA,NA,"Chandler: Where's Joey? His mom's on the phone.

Monica: He's in the bathroom... I don't think you wanna go in there!

Chandler: C'mon, we're roommates... Aaaaaaaagh! My eyes! My eyes!

"
349,NA,NA,"Chandler: I know they call this a love seat but I'm not feeling anything special towards you...

Ross: [takes newspaper... folds it up... faces Chandler... and hits him...]

"
350,NA,NA,"Chandler: Am I sexy in Tulsa?

"
351,NA,NA,"Monica: Damn the jellyfish! Damn ALL the jellyfish!

"
352,NA,NA,"Chandler: I am holding up these cushions as a symbol of my remorse! Though you may haveth anger now...

"
353,NA,NA,"Ross: That sandwich was the one good thing in my life. Someone ate the one good thing in my life.

"
354,NA,NA,"Phoebe: It's raining. I don't like to fly in the rain.

Joey: Oh, I'm going to go for a walk in the rain.

Rachel: Oh... me too!

Phoebe: Huh! I bet they're doing it!

"
355,NA,NA,"Phoebe: It's because of stuff like this that you're BURNING IN HELL!

"
356,NA,NA,"Chandler: Well actually, gum would be perfection.

[voice over]

Chandler: Gum would be perfection? Where did that come from? Coulda said thanks, coulda said I'll have a stick but no, for me, gum would be perfection. I loathe myself.

"
357,NA,NA,"[Monica and Chandler are having sex in the other room]

Joey: You can't have s-e-x in front of a b-a-b-i-e

"
358,NA,NA,"Phoebe: And then what happened?

The Duck: [flaps its wings]

Phoebe: Ooooh!

[Joey comes in]

Phoebe: Hi Joey!

[she puts the duck on the floor]

Phoebe: This isn't over!

"
359,NA,NA,"Jack Geller: Of course you could kick Chandler's ass, son.

Judy Geller: You could kick any ass you wanted to!

"
360,NA,NA,"Shrink Boyfriend: Come on, tell me about it.

Phoebe: [Lies down] Well, it's my friends. They have a liking problem. With you. In that... they don't.

Shrink Boyfriend: Oh.

Phoebe: But I do! Me, Phoebe.

Shrink Boyfriend: Well, I can't say I'm surprised. It's what I've come to expect from this kind of co-dependent, dysfunctional group dynamic, this sitting around in your Coffee House drinking from Cups which, I'm sorry, may as well have nipples on them! Saying ""Oh, define me, define me! Love me, I need love!""

[they break up]

"
361,NA,NA,"Ross: [Very drunk in Vegas] It's Joey, I love Joey!

Rachel: Joey lives with a duck!

"
362,NA,NA,"Rachel: [after winning a hand of poker. sing-song to Ross] I have got your money, and you'll never see it, and your fly's still open

[pause]

Rachel: ha, I made you look.

"
363,NA,NA,"Ross: I had a dream last night where I was playing football with my kid.

Joey, Chandler: That's nice.

Ross: No, no, with him. I'm on this field, and they, they hike me the baby. I know I've gotta do something 'cause the Tampa Bay defense is comin' right at me.

Joey: Tampa Bay's got a terrible team.

Ross: Right, but, it is just me and the baby, so I'm thinkin' they can take us. And so I uh, I just heave it downfield.

Chandler: What are you crazy? That's a baby!

Joey: He should take the sack?

Ross: Anyway, suddenly I'm downfield, and I realize that I'm the one who's supposed to catch him, right? Only I know there is no way I'm gonna get there in time, so I am running, and running, and that, that is when I woke up. See, I am so not ready to be a father.

Chandler: Hey, you're gonna be fine. You're one of the most caring, most responsible men in North America. You're gonna make a great dad.

Joey: Yeah, Ross. You and the baby just need better blocking.

"
364,NA,NA,"Carol: Oh, what do you know? No-one's going up to you and saying, ""Hi, is that your nostril? Mind if we push this

[shouts]

Carol: pot roast through it?""

"
365,NA,NA,"Chandler: Ok, I'm just going to go outside.

Ross: Whoa, whoa, hold it.

Chandler: Don't worry. I'm not going to run away again. I just want to get some fresh air.

Ross: Ok.

Chandler: [exits into hallway and lights a cigarette] Ahh, fresh air...

"
366,NA,NA,"Joey: Of course it was a line!

Monica: Why? Why? Why would anyone do something like that?

Ross: I assume we're looking for an answer more sophisticated than, ""to get you into bed.""

"
367,NA,NA,"Ross: Hey who is this Casey? Why's he calling Rachel?

Chandler: Well I'm guessing he wants to do a little dance... You know make a little love... Well pretty much get down tonight...

Ross: [puts message in cupboard]

"
368,NA,NA,"Rachel: [Referring to Ross's new girlfriend] Ooh look, she's touching his leg.

Phoebe: Oh you see, that's probably nothing she's very sexually aggressive.

"
369,NA,NA,"Ross: You guys won't believe what I have to do for work today!

Chandler: Yes, but Ross you chose a career of talking about dinosaurs.

"
370,NA,NA,"Ross: I'm FINE!

"
371,NA,NA,"[Chandler is caught smoking]

Phoebe: Oh, I can't believe you. You've been so good, for three years.

Chandler: And this- is my reward.

Ross: Hold on a second, all right? Just think about what you went through the last time you quit.

Chandler: Okay, so this time I won't quit.

"
372,NA,NA,"Monica: Look, Chandler, I feel really bad about this. Please have this bachelor party.

Chandler: No.

Monica: Stop being a baby and watch the hot woman get naked.

Chandler: ...All right.

Joey: YEAH.

Chandler: But, I'm only doing this for you... And Joey.

Monica: Ok, so who's going to be there?

Chandler: No, no, no. Just Ross and Joey is humiliating enough.

Ross: Well, actually, I have a date tonight.

Chandler: Yeah, I understand. What kind of guy would blow off a date for a fake bachelor party.

Joey: [on cell phone] Yeah, baby, I'm not gonna make it tonight...

"
373,NA,NA,"Phoebe: [Imitating someone really annoying] ""Oh, I slept with Billy Joel."" Who hasn't?

"
374,NA,NA,"Phoebe: Hey. Why isn't it Spidermen? You know, like Goldmen, Silvermen.

Chandler: Because, it... it's not his last name.

Phoebe: It isn't?

Chandler: No. It's not like Phil Spidermen. He's a spider *man*. You know, like Goldmen is a last name but there's no gold man.

Phoebe: Oh, oh okay...

Phoebe: There should *be* a gold man!

"
375,NA,NA,"Ross: Okay, there you go.

Rachel: Sure. Sure, I'll just sit next to the... transsexual from purchasing.

"
376,NA,NA,"Rachel: Well, oh, Mark, I'm doing this for the wrong reasons, y'know? I'm just doing it to get back at Ross. I'm sorry, it's not very fair to you.

Mark: Ahh! Fair, schmair! Y'know? Look, if you want to get back at Ross, I am here for you. Really? No-no, I say-I say, I say we get back at him right on this couch. Right here!

Rachel: Sorry.

Mark: Okay. I'll just go home and get back at him by myself.

"
377,NA,NA,"[Trying to fix up Monica with a date]

Joey: Aw, c'mon, this guy's perfect for you.

Monica: No, not after your cousin who could belch the alphabet.

"
378,NA,NA,"Joey: Get your sorry, non-believer ass out of my chair.

"
379,NA,NA,"Rachel: [Phoebe's ""sold out"" at a corporate massage parlour] Of course I admire you Phoebe! You have principles! I don't have any.

"
380,NA,NA,"Rachel: You always have to be right.

Ross: I do not always- I'm not doing this.

Rachel: Jurassic Park could happen.

Ross: [gives up]

"
381,NA,NA,"Chandler: [conflicted over Kathy] That's no good, I'm starting to yearn!

"
382,NA,NA,"Phoebe: Please don't kill yourself. My mother did, I know what I'm talking about. And besides, I wasn't even meant to be working today. Don't you see that the Universe wants you to live?

Suicidal Guy who doesn't need Toner: [shouts at his coworkers] Do you hear that? I don't need you people. The Universe cares about me! The whole Universe! Ha-ha-ha!

[They ignore him. To Phoebe]

Suicidal Guy who doesn't need Toner: I wish they cared a little bit...

"
383,NA,NA,"Rachel: Yes, Phoebe, but Jack gave up a Cow, and I gave up an Orthodontist!

Phoebe: Did you love him?

Rachel: No.

Phoebe: Well, there you go, Jack loved the Cow.

"
384,NA,NA,"Joey: [can't find the Hot Girl] Hot Girl? Hot Girl!

"
385,NA,NA,"Resident's Commitee Member: [pinning up warning notice] Watch out for this guy. They say he's looking for some kind of Hot Girl.

Ross: Who isn't?

Neighbour: [doesn't laugh]

Ross: Hi, I'm Ross, I'm new to the building.

Neighbour: Yes, you were the one who didn't chip in for the handyman.

Ross: Never mind.

Neighbour: Actually, I thought it was unfair the way everyone reacted. You had just moved in.

Ross: I had just moved in! Thank you!

"
386,NA,NA,"Joey: What are you worried about? The Vicar will be here any minute.

"
387,NA,NA,"Emily's Father: I could kill you with my thumb, you know...

"
388,NA,NA,"Emily's Father: [to his wife] Come on, buggerface!

Andrea Waltham: [smacks Ross on her way out] Call me!

"
389,NA,NA,"Phoebe: You know, we thought you were different. But I guess it was just the coma.

"
390,NA,NA,"Phoebe: You know, this reminds me of the time I was living on the street and this guy said he'd buy me food if I slept with him. Because that was a real problem and this is just some High School crap.

"
391,NA,NA,"Ross: [she's lost his monkey] This is just classic Rachel! You're off in Rachel land with no thought for people's feelings or monkeys!

"
392,NA,NA,"Jack Geller: Now, are you his Mother or his Father? What? I've never seen one before! I never even got a chance to pretend I'm okay with it...

"
393,NA,NA,"Joey: You bet on the bet and if you lose you lose the bet!

"
394,NA,NA,"Phoebe: There's no such thing as an innocent Burger.

"
395,NA,NA,"Chandler: [Name the 50 States Game] If you can't do it you can't do it. That's the great thing about this game, it makes you want to kill yourself.

"
396,NA,NA,"Barbershop Quartet Singer: No-one likes a Buttmunch!

"
397,NA,NA,"Chandler: At least your middle name isn't Murial!

Ross: Chandler M Bing? Your parents never gave you a chance, did they?

"
398,NA,NA,"Chandler: [can't talk Phoebe's boyfriend out of moving in with her] Were your parents HAPPY or something?

"
399,NA,NA,"Phoebe: We're... just saying Goodbye to the Hotel. We LOVE you, Paradise Hotel, Golf Resort and Spa!

"
400,NA,NA,"Monica: I use my breasts to get people's attention!

Rachel: We both do that!

"
401,NA,NA,"Ross: NO FALAFEL FOR YOU!

"
402,NA,NA,"Phoebe: Are you kidding, that woman has the nose of a bloodhound! And the breasts of a Greek Goddess...

"
403,NA,NA,"Phoebe: [singing in the Hospital] At first they're so cute and soft to the touch/ Then they grow up and resent you so much/ Now they're yelling at you and you don't know why/ and you cry and you cry and you cry/ and you cry and you cry and you cry and you cry... Thanks Ross!

Ross: I'm paying you to STOP!

"
404,NA,NA,"Joey: You're a pain in my ass, Geller!

"
405,NA,NA,"Ross: Cat!

"
406,NA,NA,"Ross: I went through the same thing with Carol and you know what I did? I got dressed really quickly.

"
407,NA,NA,"Susie: You know why I like you?

Chandler: Because my parents sent me to an all-boys Boarding School and now God is making up for it?

"
408,NA,NA,"Joey: Ross, if Homo Sapiens were HOMO Sapiens, is that why they're extinct?

Ross: Joey, ""Homo Sapiens"" are People.

Joey: Hey, I'm not Judging!

"
409,NA,NA,"Chandler: When I get back it's going to be Chair City, and I'll be the one who's sitting on chairs!

"
410,NA,NA,"Chandler: Full bag... warm bowl... something horrible must have happened here!

"
411,NA,NA,"Chandler: Big head, big head, big head!

"
412,NA,NA,"Chandler: You know, you're a great guy, Richard.

Richard: Yeah. I hate that.

"
413,NA,NA,"Joey: Don't interrupt me when I'm talking to God!

"
414,NA,NA,"Joey: Want some jam?

Chandler: No thanks, I just had a jar of mustard.

"
415,NA,NA,"[When one of Ross' male students claims to be in love with him]

Ross: I mean, last year Elizabeth now-now this kid. What-what-what-what is it? Am I giving out some kind of... sexy professor vibe?

Rachel: Not right now.

"
416,NA,NA,"Mona: Thanks for showing me your semi-precious stone collection. You got 300 of them. It was fascinating. So, we still on for tonight?

Ross: Sure.

Mona: Ok. Bye.

Ross: Bye.

Chandler: [to Ross] Wow, you must be great in bed.

"
417,NA,NA,"Ross: Did you see the kid on that nose?

"
418,NA,NA,"Ross: You're crazy!

Benjamin Hobart: Crazy? Or... Romantic?

Ross: Crazy!

Benjamin Hobart: Ooor...

Ross: Get out!

"
419,NA,NA,"Ross: Wow, you sure have a lot of books on being a Lesbian.

Susan: Well, you have to take a Course. Otherwise they don't let you do it.

"
420,NA,NA,"Dr. Leonard Green: So, Geller, is this what you dumped my Rachel for,

[points at Mona]

Dr. Leonard Green: so you could hang around with this tramp!

Mona: *Tramp*?

Ross: Oh, uh; Dr. Green, Mona; Mona, Dr. Green.

"
421,NA,NA,"Ross: The door's closed! I can't see anything with the door closed!

Chandler: And the inventor of the door rests happily in his grave.

"
422,NA,NA,"Gunther: Here is your coffee.

Ross: Thanks Gunther, or ""dank je wel voor de koffie"".

Gunther: You are speaking Dutch - ""heb je familie daar?""

Ross: Yeah we are done.

Gunther: Ezel.

"
423,NA,NA,"Chandler: Did you do it on our invitations?

Ross: Not on the ones we sent out.

Chandler: Oh, so it was on the ones, we had framed.

"
424,NA,NA,"Ross: So I don't know if he's testing me or just acting out but my monkey is OUT OF CONTROL!... He keeps erasing the messages on my machine!

Rachel: Oh yeah... I've done that

Ross: And a few days ago he got to the newspaper before I did and peed all over the crossword!

Rachel: I've never done that

Ross: And last night I don't know what he did but there were capers EVERYWHERE!

"
425,NA,NA,"Ross: I made Marcel's favorite: Banana cake...

Joey: Mmm.

Ross: ...with mealworm.

Joey: Ugh.

"
426,NA,NA,"Ross: I want someone who gets my heart pounding

[sees Rachel]

Ross: ... Someone who...

Chandler: Little play things with yarn?

Ross: What?

Chandler: Could you want her more?

Ross: Who?

Chandler: Dee the sarcastic sister from ""What's Happening"".

"
427,NA,NA,"Chandler: You kissed my best Ross!

"
428,NA,NA,"Chandler: So, is he house trained or is he going to leave little bathroom tiles all over the place?

"
429,NA,NA,"Dr. Long: [It's triplets] Doctors are wrong all the time.

"
430,NA,NA,"Chandler: Do you have the revised Annual Network Usage Summary?

Colleague: We haven't seen an ANUS this bad since the 70s.

"
431,NA,NA,"Phoebe: PICK UP THE SOCK! PICK UP THE SOCK! PICK UP THE SOCK!

"
432,NA,NA,"Chandler: [Everyone's hugging] Aw... oh that's right, I have no-one.

"
433,NA,NA,"Ross: [Long, serious lecture] All of which proves that I thought of Jurassic Park first.

"
434,NA,NA,"Gunther: I broke a cup.

"
435,NA,NA,"Joey: [living alone] I thought I'd spend more time with my thoughts, but it turns out I don't have as many thoughts as you'd think.

"
436,NA,NA,"Phoebe: Stop, you guys! Look what you're doing to Chandler!

"
437,NA,NA,"Monica: So if your parents had stayed together you'd be able to answer a question like a normal person?

"
438,NA,NA,"Rachel: Ever since I was humiliated, I've not been in a very museum-benefitty sort of place.

"
439,NA,NA,"Chandler: Go with the Egg, my friend!

"
440,NA,NA,"Bully: [to Chandler] You know what I don't like about you? You've always got something to say.

"
441,NA,NA,"Margha: Is it alright if I stay and watch? I can't go back yet, my roommate is vershlocking a big American Businessman.

"
442,NA,NA,"Joey: I just dropped by to say you're not a real Doctor! And that woman's brain... is fine.

"
443,NA,NA,"Colleague: Now, Chandler, I'm going to need this back on Tuesday.

Chandler: If you say so, Sir.

"
444,NA,NA,"Joey: Chandler is a mysterious fellow, one unlikely to take a wife.

"
445,NA,NA,"Phoebe: Leave me behind! I'm just a machine!

"
446,NA,NA,"Chandler: We just think Emily might be being a bit... unreasonable.

Joey: [pointing] Yes! Yes! Unreasonable!

"
447,NA,NA,"Phoebe: [making fun of TV] If I don't hold my hair, my head will fall off.

"
448,NA,NA,"Chandler: [making fun of TV] Oh she should not be wearing those pants! I say push her down the stairs!

"
449,NA,NA,"Monica: [trying to persuade Phoebe to live with Rachel] Did you know she has like a hundred pairs of shoes, and she'll let you borrow them?

Rachel: Yeah, and then you stretch them out with your big ol' clown feet...

Monica: You want to sleep outside, 'cos it's getting cold!

"
450,NA,NA,"Emily's Father: Do you want a piece of me, is that it? Do you want a piece of me?

"
451,NA,NA,"Joey: I want to be Mr. Hugglemunch!

"
452,NA,NA,"Joey: Hey, it's not the first time I lost a girl to a Cowboy spraying Cologne!

"
453,NA,NA,"Phoebe: I've done some research, and it turns out mink aren't very nice.

"
454,NA,NA,"Joshua Burgin: Oh God, that Special Bond again!

Rachel: Well...

Joshua Burgin: Do you have a brother?

Rachel: No, but one of my sisters had a very... masculine energy.

Joshua Burgin: And how did you get on?

Rachel: Oh, I don't talk to them, they're not very nice people.

"
455,NA,NA,"Rachel: Does this look like something the girlfriend of a paleontologist would wear?

Phoebe: I don't know, you might be the first one.

"
456,NA,NA,"Joey Tribbiani: Opposite is opposite!

"
457,NA,NA,"Monica: You are just going to have to stop pissing me off.

"
458,NA,NA,"Judy Geller: Oh, God. There's a toe in my kitchen...

"
459,NA,NA,"Joey Tribbiani: [whispers] Not knowing when to shut up!

Ross: Yep, that's my thing...

"
460,NA,NA,"Joey's Hand: Hi Daddy! Why don't you live with Mommy? Who's that other Lady? What's a Lesbian?

"
461,NA,NA,"Ross: Ugly Baby Judges you!

"
462,NA,NA,"Phoebe: [Chandler's run off] Come on, Ross we've got to think like Chandler!

Ross: So where's the one place he'd never expect us to look?

[Scene Cuts]

Ross: So THIS is your Office?

"
463,NA,NA,"Joey: There's always room for jello.

Monica: How do you make that dirty?

Joey: I can do it with anything, look. Grandma's Chicken Salad.

"
464,NA,NA,"Bridesmaid: Talk New York to me!

Joey: Forget about it!

"
465,NA,NA,"Chandler: You made my girlfriend think!

"
466,NA,NA,"Chandler: When I get back it'll be Chair City, and I'll be the one who's sitting on Chairs!

"
467,NA,NA,"Joey: [Chandler and Joey are sightseeing in London] Alright! Westminster Abbey. Hands down. Best Abbey I ever seen.

[Joey gets out his digital camera so he can take Chandler's picture in front of the Abbey]

Joey: Hey! Ok. What do you think of the Abbey, Chandler?

Chandler: Yeah, I think it's great. It's great. You know, they're thinking of changing the name of this place.

Joey: Really? To what?

Chandler: To put the camera away!

Joey: Man, you are Westminster Crabby.

"
468,NA,NA,"Joey: The guy is like a cartoon!

"
469,NA,NA,"Joey: Do you want to hear something weird?

Phoebe: Always!

"
470,NA,NA,"Phoebe: I just gave birth to three children and I will not see them grow up in a World where Joey is right!

"
471,NA,NA,"Chandler: Hell is full of people like you.

"
472,NA,NA,"Ross: There was nothing in your father's fridge except Heavy Cream and Bacon. I think I solved the mystery of the heart attack.

"
473,NA,NA,"Monica: That was close.

Chandler: Yes, you almost over-reacted to something.

"
474,NA,NA,"Frank Buffay Jr.: No, it was perfect. Telling you about my likes and dislikes. How I like to melt things and dislike things that don't melt. A hooker tried to break my arm.

Phoebe: She's not a hooker.

Frank Buffay Jr.: Yes, but when I tell my friends about it later, she WILL BE a hooker.

"
475,NA,NA,"Chandler: He said ""Hey Todd, want a donut?"" And I wanted a donut. So now it's five years later, the donut's gone, and I'm still Todd.

"
476,NA,NA,"Phoebe: Boobs will help us figure it out.

"
477,NA,NA,"Richard: My parents are dead.

Monica: You're so lucky!

"
478,NA,NA,"Richard: I like them better than my other friends, all they say is: ""Do you know who just died shovelling snow?""

"
479,NA,NA,"Monica: It turns out Fun Bobby was Fun for a Reason!

"
480,NA,NA,"Phoebe: I'm not going to let that man make you eat your Baby.

"
481,NA,NA,"Joey: It must have been a great play, because I didn't understand a single word of it!

"
482,NA,NA,"Ross: I KNEW YOU'D BE MY DEATH, PHOEBE BUFFAY!

"
